class,field,type,size,offset
RadioPacket,packetType,uint8,1,0
RadioPacket,time,int32,4,1
RadioPacket,serial,int32,4,5
BotCommandPayload,commandType,uint8,1,0
BotCommandPayload,motor1,int16,2,1
BotCommandPayload,motor2,int16,2,3
BotCommandPayload,motor3,int16,2,5
BotCommandPayload,motor4,int16,2,7
BotCommandPayload,duration,int16,2,9
BotStatusPayload,buttons,uint8,1,0
BotStatusPayload,accelX,int16,2,1
BotStatusPayload,accelY,int16,2,3
BotStatusPayload,accelZ,int16,2,5
DisplayPayload,tone,uint8,1,0
DisplayPayload,duration,uint8,1,1
DisplayPayload,image,uint32,4,2
DisplayPayload,headLampLeft,rgb24,3,6
DisplayPayload,headLampRight,rgb24,3,9
DisplayPayload,neoLeft,rgb24,3,12
DisplayPayload,neoRight,rgb24,3,15
HereIAm,classId,uint8,1,0
HereIAm,group,uint16,2,1
HereIAm,channel,uint16,2,3
HereIAm,flags,uint16,2,5
